"ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
2010,"UF",29,0.701,0.66,0.623,0.697
2010,"MUNICIPIO",2900108,NA,0.603,NA,NA
2010,"MUNICIPIO",2900207,NA,0.575,NA,NA
2010,"MUNICIPIO",2900306,NA,0.582,NA,NA
2010,"MUNICIPIO",2900355,NA,0.546,NA,NA
2010,"MUNICIPIO",2900405,NA,0.55,NA,NA
2010,"MUNICIPIO",2900603,NA,0.583,NA,NA
2010,"MUNICIPIO",2900702,NA,0.683,NA,NA
2010,"MUNICIPIO",2900801,NA,0.608,NA,NA
2010,"MUNICIPIO",2900900,NA,0.563,NA,NA
2010,"MUNICIPIO",2901007,NA,0.625,NA,NA
2010,"MUNICIPIO",2901106,NA,0.666,NA,NA
2010,"MUNICIPIO",2901155,NA,0.561,NA,NA
2010,"MUNICIPIO",2901205,NA,0.54,NA,NA
2010,"MUNICIPIO",2901304,NA,0.555,NA,NA
2010,"MUNICIPIO",2901353,NA,0.588,NA,NA
2010,"MUNICIPIO",2901403,NA,0.625,NA,NA
2010,"MUNICIPIO",2901502,NA,0.589,NA,NA
2010,"MUNICIPIO",2901601,NA,0.592,NA,NA
2010,"MUNICIPIO",2901700,NA,0.561,NA,NA
2010,"MUNICIPIO",2901809,NA,0.598,NA,NA
2010,"MUNICIPIO",2901908,NA,0.548,NA,NA
2010,"MUNICIPIO",2901957,NA,0.552,NA,NA
2010,"MUNICIPIO",2902054,NA,0.57,NA,NA
2010,"MUNICIPIO",2902005,NA,0.581,NA,NA
2010,"MUNICIPIO",2902104,NA,0.534,NA,NA
2010,"MUNICIPIO",2902203,NA,0.588,NA,NA
2010,"MUNICIPIO",2902252,NA,0.559,NA,NA
2010,"MUNICIPIO",2902302,NA,0.575,NA,NA
2010,"MUNICIPIO",2902401,NA,0.568,NA,NA
2010,"MUNICIPIO",2902500,NA,0.589,NA,NA
2010,"MUNICIPIO",2902609,NA,0.585,NA,NA
2010,"MUNICIPIO",2902658,NA,0.579,NA,NA
2010,"MUNICIPIO",2902708,NA,0.557,NA,NA
2010,"MUNICIPIO",2902807,NA,0.575,NA,NA
2010,"MUNICIPIO",2902906,NA,0.551,NA,NA
2010,"MUNICIPIO",2903003,NA,0.63,NA,NA
2010,"MUNICIPIO",2903102,NA,0.577,NA,NA
2010,"MUNICIPIO",2903201,NA,0.721,NA,NA
2010,"MUNICIPIO",2903235,NA,0.607,NA,NA
2010,"MUNICIPIO",2903300,NA,0.602,NA,NA
2010,"MUNICIPIO",2903276,NA,0.61,NA,NA
2010,"MUNICIPIO",2903409,NA,0.705,NA,NA
2010,"MUNICIPIO",2903508,NA,0.575,NA,NA
2010,"MUNICIPIO",2903607,NA,0.538,NA,NA
2010,"MUNICIPIO",2903706,NA,0.567,NA,NA
2010,"MUNICIPIO",2903805,NA,0.551,NA,NA
2010,"MUNICIPIO",2903904,NA,0.633,NA,NA
2010,"MUNICIPIO",2903953,NA,0.546,NA,NA
2010,"MUNICIPIO",2904001,NA,0.612,NA,NA
2010,"MUNICIPIO",2904050,NA,0.561,NA,NA
2010,"MUNICIPIO",2904100,NA,0.603,NA,NA
2010,"MUNICIPIO",2904209,NA,0.575,NA,NA
2010,"MUNICIPIO",2904308,NA,0.597,NA,NA
2010,"MUNICIPIO",2904407,NA,0.592,NA,NA
2010,"MUNICIPIO",2904506,NA,0.57,NA,NA
2010,"MUNICIPIO",2904605,NA,0.656,NA,NA
2010,"MUNICIPIO",2904704,NA,0.613,NA,NA
2010,"MUNICIPIO",2904753,NA,0.565,NA,NA
2010,"MUNICIPIO",2904803,NA,0.561,NA,NA
2010,"MUNICIPIO",2904852,NA,0.581,NA,NA
2010,"MUNICIPIO",2904902,NA,0.647,NA,NA
2010,"MUNICIPIO",2905008,NA,0.637,NA,NA
2010,"MUNICIPIO",2905107,NA,0.546,NA,NA
2010,"MUNICIPIO",2905156,NA,0.542,NA,NA
2010,"MUNICIPIO",2905206,NA,0.625,NA,NA
2010,"MUNICIPIO",2905305,NA,0.584,NA,NA
