"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC","POPRE_RA","POPRE_RE","TFG","TMG","RMM","TMM","TMM_P","TMN","TMN_P","TMN_T","TMI"
2015,"MUNICIPIO","2900108",9226,8316,4082,4234,1577,4170,2569,759,2099,1376,NA,0.603,NA,NA,64,0,58,0,6,15,12,21,9,1,0,0,64,22.75,29,31.25,28.02,5.97,0,7,9,38,0,8,14,2,0,45,0,16,47,26,38,58,6,0,0,0,12,49,1,12,49,1,37.25,38.5,39,38.11,2.07,0,14,4,4,39,58,6,18,46,56,6,1,9,8,14,4,11,2,2,5,1,7,39,24,0,1,0,33,31,14,2,0,45,0,8,53,3,2773.75,3077.5,3427.5,3051.2,583.72,1,51,5,1,62,9.56,0.82,0,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.490709861839,NA,NA,NA,NA,NA,NA,NA,NA
2015,"MUNICIPIO","2900207",19574,17064,8564,8500,5341,8912,2811,2674,4324,1502,NA,0.575,NA,NA,282,0,256,3,75,74,58,46,20,6,0,0,279,19,24,30,24.74,6.62,5,28,77,131,10,13,9,16,0,231,5,102,174,103,179,280,2,0,1,4,20,228,17,25,228,17,38,39.5,40,39.09,2.4,3,63,9,8,177,199,83,170,112,249,12,1,51,34,78,27,32,5,6,2,1,24,278,2,0,2,0,163,119,9,17,0,244,8,19,241,22,3035,3302.5,3630,3288.83,557.44,26,204,34,2,278,9.1,0.78,6,276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.855,6.548,65.2173913043478,NA,NA,NA,NA,NA,NA,NA,NA
2015,"MUNICIPIO","2900306",15717,14653,7208,7445,4353,7323,2977,2168,3669,1608,NA,0.582,NA,NA,182,0,56,1,40,42,40,33,20,5,1,0,181,20,26,30,26.02,7.04,3,25,72,67,4,6,2,9,0,53,1,118,54,72,110,175,6,0,1,3,12,145,13,16,145,13,38,39,40,38.83,2.39,0,61,12,18,65,173,9,144,36,170,10,0,47,10,69,9,10,4,2,6,0,15,176,1,4,1,0,91,91,2,9,0,53,1,12,149,21,2912.5,3280,3646.25,3281.35,643.13,20,118,27,3,175,8.98,0.97,3,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.06,NA,49.6047969473971,NA,NA,NA,NA,NA,NA,NA,NA
2015,"MUNICIPIO","2900355",17153,15702,7907,7795,4285,8425,2992,2119,4163,1513,NA,0.546,NA,NA,149,0,124,1,30,52,32,19,10,5,0,0,148,20,23,29,24.83,6.26,0,17,53,60,4,1,24,5,0,112,0,105,41,76,73,142,6,0,2,4,15,116,4,21,116,4,38,39,40,38.41,2.68,0,35,8,9,83,145,4,109,39,138,3,1,45,13,39,8,8,2,0,6,1,16,145,3,0,1,0,69,80,25,5,0,112,0,13,128,8,3000,3300,3600,3232.46,614.98,9,108,20,3,145,9.05,0.98,0,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.107,NA,35.7914965169349,NA,NA,NA,NA,NA,NA,NA,NA
2015,"MUNICIPIO","2900405",17043,15731,7903,7828,4214,8127,3390,2067,3945,1816,NA,0.55,NA,NA,190,0,53,1,42,31,44,39,23,10,0,0,189,20,27,33,27.05,7.52,2,13,29,58,1,6,4,11,0,61,0,125,54,89,101,187,3,0,0,1,5,112,11,6,112,11,39,40,40,39.47,1.87,1,14,9,8,53,114,76,126,64,113,3,0,27,17,19,10,16,1,2,3,0,6,187,2,1,0,0,92,98,4,11,0,129,0,12,170,8,2944,3200,3484.25,3212.14,505.48,9,89,9,1,145,9.51,0.81,1,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.123,NA,48.1622306717364,NA,NA,NA,NA,NA,NA,NA,NA
2015,"MUNICIPIO","2900504",11437,10859,5422,5437,2514,5826,2519,1261,2839,1337,NA,0.584,NA,NA,95,0,32,0,17,24,20,16,10,6,1,1,94,21.5,26,32,27.17,7.63,2,18,25,45,1,1,19,32,0,44,0,25,69,41,54,95,0,1,0,1,8,76,8,10,76,8,38,39,40,38.86,2.94,1,22,8,5,49,95,0,52,43,92,1,0,29,6,28,2,17,0,1,0,0,9,94,1,0,0,0,37,58,19,32,0,44,0,10,81,4,2855,3125,3500,3130.27,644.53,13,71,7,1,33,9.12,1.7,2,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.633,NA,33.4624867911236,NA,NA,NA,NA,NA,NA,NA,NA
2015,"MUNICIPIO","2900603",4767,4602,2351,2251,1167,2332,1103,581,1121,549,NA,0.583,NA,NA,50,0,37,0,12,14,12,7,4,1,0,0,50,20,24,28.75,24.82,6.6,0,5,12,28,0,2,3,4,2,38,0,10,38,24,26,46,4,0,0,0,4,33,5,4,33,5,38,39,40,39.1,1.89,0,17,4,3,17,49,1,24,26,47,1,0,9,3,10,3,7,1,0,4,0,4,48,0,1,1,0,19,31,3,4,2,39,0,6,38,6,2870,3187.5,3537.5,3134.8,763.57,3,26,7,4,44,9.4,1.53,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.742,NA,44.6030330062444,NA,NA,NA,NA,NA,NA,NA,NA
2015,"MUNICIPIO","2900702",154495,141949,67212,74737,33087,82188,26674,16338,43078,15321,NA,0.683,NA,NA,2440,0,1613,24,423,598,551,509,267,61,6,1,2415,21,26,31,26.43,6.85,9,155,756,1133,113,222,160,344,22,1323,13,1322,991,1059,1381,2389,46,3,7,29,213,1790,135,252,1790,135,38,39,40,38.74,2.37,17,629,163,185,1137,294,2146,1551,887,2284,76,5,469,348,493,231,262,24,39,45,5,212,2414,12,12,2,0,1238,1202,160,344,22,1323,13,195,2067,178,2935,3250,3600,3232.14,588.31,152,1630,301,31,2329,9.47,0.94,26,2271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152.803,32.693,56.6414411068295,NA,NA,NA,NA,NA,NA,NA,NA
2015,"MUNICIPIO","2900801",23282,21271,10815,10456,6332,11075,3864,3146,5431,1879,NA,0.608,NA,NA,283,0,237,5,72,86,59,38,18,5,0,0,278,19,23,28,24.21,6.41,1,31,113,114,6,12,3,63,0,204,1,85,194,108,175,282,0,0,1,4,24,217,18,29,217,18,38,39,40,38.75,2.38,3,103,33,19,114,193,90,191,91,275,4,0,28,56,58,51,36,2,2,0,0,28,282,0,0,1,0,150,133,3,63,0,204,1,11,251,21,2986,3280,3635,3279.2,538.48,15,200,39,1,273,9.48,0.65,1,278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.252,NA,52.1082673540784,NA,NA,NA,NA,NA,NA,NA,NA
2015,"MUNICIPIO","2900900",6145,6357,3200,3157,1615,3149,1593,791,1599,767,NA,0.563,NA,NA,74,0,72,0,19,19,19,11,6,0,0,0,74,19.25,24,29,24.76,6.27,0,10,25,30,5,3,3,4,0,67,0,38,36,29,45,74,0,0,0,0,6,65,3,6,65,3,38,39,40,38.96,1.79,1,22,2,7,42,74,0,49,25,72,2,0,7,20,6,26,8,1,1,0,0,5,74,0,0,0,0,37,37,3,4,0,67,0,4,65,5,3070,3270,3447.5,3259.12,439.39,3,62,8,0,73,8.92,0.28,0,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.925,NA,46.2789243277048,NA,NA,NA,NA,NA,NA,NA,NA
