"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
2015,"UF","29",15203334,14016906,6878266,7138640,3590093,7778245,2648568,1763675,3951610,1423355
2015,"MUNICIPIO","2900108",9226,8316,4082,4234,1577,4170,2569,759,2099,1376
2015,"MUNICIPIO","2900207",19574,17064,8564,8500,5341,8912,2811,2674,4324,1502
2015,"MUNICIPIO","2900306",15717,14653,7208,7445,4353,7323,2977,2168,3669,1608
2015,"MUNICIPIO","2900355",17153,15702,7907,7795,4285,8425,2992,2119,4163,1513
2015,"MUNICIPIO","2900405",17043,15731,7903,7828,4214,8127,3390,2067,3945,1816
2015,"MUNICIPIO","2900504",11437,10859,5422,5437,2514,5826,2519,1261,2839,1337
2015,"MUNICIPIO","2900603",4767,4602,2351,2251,1167,2332,1103,581,1121,549
2015,"MUNICIPIO","2900702",154495,141949,67212,74737,33087,82188,26674,16338,43078,15321
2015,"MUNICIPIO","2900801",23282,21271,10815,10456,6332,11075,3864,3146,5431,1879
2015,"MUNICIPIO","2900900",6145,6357,3200,3157,1615,3149,1593,791,1599,767
2015,"MUNICIPIO","2901007",37807,34351,16647,17704,8698,18282,7371,4231,9366,4107
2015,"MUNICIPIO","2901106",26441,25190,12283,12907,6577,13897,4716,3174,7149,2584
2015,"MUNICIPIO","2901155",16923,15961,8073,7888,4965,8155,2841,2463,4017,1408
2015,"MUNICIPIO","2901205",20096,25516,12892,12624,6365,12751,6400,3111,6234,3279
2015,"MUNICIPIO","2901304",13723,13960,7181,6779,4401,7055,2504,2100,3418,1261
2015,"MUNICIPIO","2901353",14791,14414,7328,7086,3650,7899,2865,1813,3822,1451
2015,"MUNICIPIO","2901403",14724,14073,7460,6613,3740,7365,2968,1795,3388,1430
2015,"MUNICIPIO","2901502",11299,10242,5083,5159,2346,5594,2302,1085,2778,1296
2015,"MUNICIPIO","2901601",19183,17072,8581,8491,3722,9500,3850,1884,4693,1914
2015,"MUNICIPIO","2901700",12225,11554,5734,5820,3077,6202,2275,1504,3030,1286
2015,"MUNICIPIO","2901809",12187,11015,5573,5442,3073,5684,2258,1474,2803,1165
2015,"MUNICIPIO","2901908",19146,17731,8961,8770,5118,8876,3737,2521,4330,1919
2015,"MUNICIPIO","2901957",7762,7459,3794,3665,2065,3849,1545,972,1905,788
2015,"MUNICIPIO","2902005",14089,13743,7052,6691,3255,7159,3329,1566,3412,1713
2015,"MUNICIPIO","2902054",12450,11561,5828,5733,3402,6386,1773,1682,3169,882
2015,"MUNICIPIO","2902104",56370,51651,25940,25711,16593,26007,9051,8206,12803,4702
2015,"MUNICIPIO","2902203",11314,10036,4999,5037,2514,5669,1853,1230,2810,997
2015,"MUNICIPIO","2902252",11737,10392,5502,4890,3432,5024,1936,1628,2412,850
2015,"MUNICIPIO","2902302",9127,8599,4376,4223,2416,4684,1499,1190,2259,774
2015,"MUNICIPIO","2902401",13089,13595,6833,6762,3911,7138,2546,1969,3550,1243
