"ANO","NIVEL","MUNICIPIO","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC"
2015,"UF",29,87083,0,0,12751,74332,4132,11747,20749,7236,30468,50010,37009,4841,0,842,702,140,19,57,137,45,0,540,1,195,57,35,7,66,30,165,154,4,32,31,49,1,5
2015,"MU",290000,472,0,0,255,217,15,21,39,23,119,382,64,16,0,4,3,1,0,0,1,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
2015,"MU",290010,50,0,0,6,44,1,6,17,1,19,24,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",290020,99,0,0,19,80,4,17,27,7,25,59,40,7,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,2,0,3,3,0,0,2,0,0,0
2015,"MU",290030,122,0,0,15,107,4,12,38,3,50,68,54,4,0,3,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",290035,82,0,0,9,73,0,9,15,5,44,44,38,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",290040,80,0,0,6,74,4,2,21,2,45,45,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",290050,60,0,0,6,54,2,9,25,2,16,29,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",290060,26,0,0,3,23,1,4,3,1,14,15,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",290070,999,0,0,161,838,41,121,241,91,344,527,472,64,0,4,3,1,0,2,1,0,0,2,0,2,2,0,0,0,0,2,2,0,0,0,2,0,0
2015,"MU",290080,110,0,0,29,81,3,12,21,5,40,65,45,13,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",290090,56,0,0,7,49,3,7,18,9,12,31,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",290100,259,0,0,18,241,7,47,72,30,85,136,123,7,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MU",290110,170,0,0,28,142,4,32,41,10,55,103,67,5,0,3,2,1,0,1,0,0,0,3,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0
2015,"MU",290115,84,0,0,12,72,0,12,27,8,25,48,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
