"ANO","NIVEL","CODMUNRES","POPRE_RA","POPRE_RE"
2015,"UF",29,9631.69,8265.814
2015,"MUNICIPIO",290010,NA,NA
2015,"MUNICIPIO",290020,12.855,6.548
2015,"MUNICIPIO",290030,14.06,NA
2015,"MUNICIPIO",290035,10.107,NA
2015,"MUNICIPIO",290040,8.123,NA
2015,"MUNICIPIO",290060,2.742,NA
2015,"MUNICIPIO",290070,152.803,32.693
2015,"MUNICIPIO",290080,12.252,NA
2015,"MUNICIPIO",290090,5.925,NA
2015,"MUNICIPIO",290100,32.742,1.043
2015,"MUNICIPIO",290110,19.082,NA
2015,"MUNICIPIO",290115,13.822,NA
2015,"MUNICIPIO",290120,6.35,NA
2015,"MUNICIPIO",290130,8.58,NA
2015,"MUNICIPIO",290135,9.908,NA
2015,"MUNICIPIO",290140,6.872,NA
2015,"MUNICIPIO",290150,8.236,NA
2015,"MUNICIPIO",290160,10.872,NA
2015,"MUNICIPIO",290170,4.979,NA
2015,"MUNICIPIO",290180,9.127,NA
2015,"MUNICIPIO",290190,16.643,NA
2015,"MUNICIPIO",290195,5.008,NA
2015,"MUNICIPIO",290205,NA,NA
2015,"MUNICIPIO",290200,5.902,NA
2015,"MUNICIPIO",290210,26.781,1.035
2015,"MUNICIPIO",290220,6.256,NA
2015,"MUNICIPIO",290225,5.572,NA
2015,"MUNICIPIO",290230,5.458,NA
2015,"MUNICIPIO",290240,10.679,NA
2015,"MUNICIPIO",290250,3.918,NA
2015,"MUNICIPIO",290260,12.765,NA
2015,"MUNICIPIO",290265,5.684,NA
2015,"MUNICIPIO",290270,NA,NA
2015,"MUNICIPIO",290280,18.982,8.6
2015,"MUNICIPIO",290290,29.022,481
2015,"MUNICIPIO",290300,11.336,NA
2015,"MUNICIPIO",290310,4.145,NA
2015,"MUNICIPIO",290320,153.918,58.492
2015,"MUNICIPIO",290323,6.393,NA
2015,"MUNICIPIO",290327,11.441,NA
2015,"MUNICIPIO",290330,NA,NA
2015,"MUNICIPIO",290340,16.467,12.785
2015,"MUNICIPIO",290350,6.777,NA
2015,"MUNICIPIO",290360,7.002,NA
2015,"MUNICIPIO",290370,9.11,3.304
2015,"MUNICIPIO",290380,13.333,NA
2015,"MUNICIPIO",290390,69.526,47.204
2015,"MUNICIPIO",290395,4.34,NA
2015,"MUNICIPIO",290400,5.619,NA
2015,"MUNICIPIO",290405,6.921,NA
2015,"MUNICIPIO",290410,NA,NA
2015,"MUNICIPIO",290420,5.916,NA
2015,"MUNICIPIO",290430,13.803,15.214
2015,"MUNICIPIO",290440,2.983,NA
2015,"MUNICIPIO",290450,4.033,NA
2015,"MUNICIPIO",290460,61.083,4.402
2015,"MUNICIPIO",290470,14.829,NA
2015,"MUNICIPIO",290475,NA,NA
2015,"MUNICIPIO",290480,7.142,NA
2015,"MUNICIPIO",290485,9.126,623
2015,"MUNICIPIO",290490,24.986,14.158
2015,"MUNICIPIO",290500,19.306,NA
2015,"MUNICIPIO",290510,4.596,NA
2015,"MUNICIPIO",290515,3.94,NA
2015,"MUNICIPIO",290520,38.201,NA
2015,"MUNICIPIO",290530,12.016,NA
2015,"MUNICIPIO",290540,14.352,3.855
2015,"MUNICIPIO",290550,8.217,NA
2015,"MUNICIPIO",290560,23.551,8.938
2015,"MUNICIPIO",290570,247.609,81.561
2015,"MUNICIPIO",290580,19.832,1.819
2015,"MUNICIPIO",290590,8.65,8.65
2015,"MUNICIPIO",290600,31.833,2.961
2015,"MUNICIPIO",290610,6.441,3.502
2015,"MUNICIPIO",290620,18.827,NA
2015,"MUNICIPIO",290630,26.856,16.868
2015,"MUNICIPIO",290640,4.651,NA
2015,"MUNICIPIO",290650,79.905,33.015
2015,"MUNICIPIO",290660,10.771,NA
2015,"MUNICIPIO",290670,16.524,NA
2015,"MUNICIPIO",290680,26.65,NA
2015,"MUNICIPIO",290682,11,NA
2015,"MUNICIPIO",290685,9.161,NA
2015,"MUNICIPIO",290687,29.346,2.141
2015,"MUNICIPIO",290689,3.431,1.231
2015,"MUNICIPIO",290690,14.771,NA
2015,"MUNICIPIO",290700,6.75,NA
2015,"MUNICIPIO",290710,22.975,5.625
2015,"MUNICIPIO",290720,55,23
2015,"MUNICIPIO",290730,22.849,657
2015,"MUNICIPIO",290740,2.319,NA
2015,"MUNICIPIO",290750,53.007,NA
2015,"MUNICIPIO",290755,5.737,1.746
2015,"MUNICIPIO",290760,14.614,NA
2015,"MUNICIPIO",290770,7.452,2.739
2015,"MUNICIPIO",290780,24.355,NA
2015,"MUNICIPIO",290790,13.169,NA
2015,"MUNICIPIO",290800,17.531,NA
2015,"MUNICIPIO",290810,NA,NA
2015,"MUNICIPIO",290820,19.451,484
2015,"MUNICIPIO",290830,8.137,NA
2015,"MUNICIPIO",290840,53.481,3.609
2015,"MUNICIPIO",290850,14.366,NA
2015,"MUNICIPIO",290860,16.294,NA
2015,"MUNICIPIO",290870,9.152,NA
2015,"MUNICIPIO",290880,3.011,NA
